n,m,k,e,t
1200,7200,6,103,22
1200,7200,6,102,23
1200,7200,6,102,24
1200,7200,6,103,25
1200,7200,6,103,26
1200,7200,6,103,27
1200,7200,6,103,28
1200,7200,6,102,29
1200,7200,6,101,2
1200,7200,6,103,30
1200,7200,6,103,31
1200,7200,6,103,32
1200,7200,6,104,33
1200,7200,6,103,34
1200,7200,6,102,35
1200,7200,6,102,36
1200,7200,6,102,37
1200,7200,6,103,38
1200,7200,6,102,39
1200,7200,6,103,3
1200,7200,6,103,40
1200,7200,6,102,41
1200,7200,6,104,42
1200,7200,6,103,43
1200,7200,6,103,44
1200,7200,6,103,45
1200,7200,6,102,46
1200,7200,6,102,47
1200,7200,6,103,48
1200,7200,6,102,49
1200,7200,6,102,4
1200,7200,6,103,50
1200,7200,6,104,5
1200,7200,6,102,6
1200,7200,6,102,7
1200,7200,6,103,8
1200,7200,6,103,9
1400,14000,3,89,10
1400,14000,3,89,11
1400,14000,3,90,12
1400,14000,3,89,13
1400,14000,3,88,14
1400,14000,3,91,15
1400,14000,3,89,16
1400,14000,3,89,17
1400,14000,3,89,18
1400,14000,3,88,19
1400,14000,3,90,1
1400,14000,3,89,20
1400,14000,3,90,21
1400,14000,3,90,22
1400,14000,3,87,23
1400,14000,3,90,24
1400,14000,3,89,25
1400,14000,3,90,26
1400,14000,3,89,27
1400,14000,3,88,28
1400,14000,3,89,29
1400,14000,3,89,2
1400,14000,3,88,30
1400,14000,3,89,31
1400,14000,3,90,32
1400,14000,3,90,33
1400,14000,3,90,34
1400,14000,3,89,35
1400,14000,3,89,36
1400,14000,3,90,37
1400,14000,3,90,38
1400,14000,3,89,39
1400,14000,3,90,3
1400,14000,3,89,40
1400,14000,3,90,41
1400,14000,3,89,42
1400,14000,3,89,43
1400,14000,3,88,44
1400,14000,3,90,45
1400,14000,3,89,46
1400,14000,3,89,47
1400,14000,3,89,48
1400,14000,3,90,49
1400,14000,3,87,4
1400,14000,3,90,50
1400,14000,3,89,5
1400,14000,3,90,6
1400,14000,3,91,7
1400,14000,3,89,8
1400,14000,3,89,9
1400,14000,4,108,10
1400,14000,4,109,11
1400,14000,4,107,12
1400,14000,4,109,13
1400,14000,4,108,14
1400,14000,4,109,15
1400,14000,4,108,16
1400,14000,4,109,17
1400,14000,4,109,18
1400,14000,4,109,19
1400,14000,4,109,1
1400,14000,4,109,20
1400,14000,4,109,21
1400,14000,4,108,22
1400,14000,4,108,23
1400,14000,4,109,24
1400,14000,4,109,25
1400,14000,4,110,26
1400,14000,4,109,27
1400,14000,4,108,28
1400,14000,4,109,29
1400,14000,4,110,2
1400,14000,4,108,30
1400,14000,4,109,31
1400,14000,4,107,32
1400,14000,4,109,33
1400,14000,4,108,34
1400,14000,4,108,35
1400,14000,4,109,36
1400,14000,4,108,37
1400,14000,4,110,38
1400,14000,4,109,39
1400,14000,4,108,3
1400,14000,4,110,40
1400,14000,4,108,41
1400,14000,4,109,42
1400,14000,4,109,43
1400,14000,4,109,44
1400,14000,4,109,45
1400,14000,4,108,46
1400,14000,4,109,47
1400,14000,4,110,48
1400,14000,4,109,49
1400,14000,4,109,4
1400,14000,4,109,50
1400,14000,4,109,5
1400,14000,4,109,6
1400,14000,4,108,7
1400,14000,4,109,8
1400,14000,4,108,9
1400,14000,5,110,10
1400,14000,5,110,11
1400,14000,5,110,12
1400,14000,5,111,13
1400,14000,5,109,14
1400,14000,5,110,15
1400,14000,5,111,16
1400,14000,5,111,17
1400,14000,5,109,18
1400,14000,5,110,19
1400,14000,5,110,1
1400,14000,5,110,20
1400,14000,5,109,21
1400,14000,5,110,22
1400,14000,5,110,23
1400,14000,5,108,24
1400,14000,5,109,25
1400,14000,5,109,26
1400,14000,5,111,27
1400,14000,5,110,28
1400,14000,5,111,29
1400,14000,5,108,2
1400,14000,5,111,30
1400,14000,5,110,31
1400,14000,5,110,32
1400,14000,5,110,33
1400,14000,5,110,34
1400,14000,5,110,35
1400,14000,5,110,36
1400,14000,5,110,37
1400,14000,5,110,38
1400,14000,5,109,39
1400,14000,5,110,3
1400,14000,5,110,40
1400,14000,5,110,41
1400,14000,5,110,42
1400,14000,5,111,43
1400,14000,5,111,44
1400,14000,5,110,45
1400,14000,5,110,46
1400,14000,5,110,47
1400,14000,5,110,48
1400,14000,5,110,49
1400,14000,5,110,4
1400,14000,5,110,50
1400,14000,5,111,5
1400,14000,5,110,6
1400,14000,5,111,7
1400,14000,5,110,8
1400,14000,5,109,9
1400,14000,6,106,10
1400,14000,6,107,11
1400,14000,6,106,12
1400,14000,6,105,13
1400,14000,6,105,14
1400,14000,6,104,15
1400,14000,6,105,16
1400,14000,6,106,17
1400,14000,6,106,18
1400,14000,6,106,19
1400,14000,6,107,1
1400,14000,6,106,20
1400,14000,6,104,21
1400,14000,6,106,22
1400,14000,6,106,23
1400,14000,6,105,24
1400,14000,6,106,25
1400,14000,6,107,26
1400,14000,6,105,27
1400,14000,6,105,28
1400,14000,6,106,29
1400,14000,6,105,2
1400,14000,6,107,30
1400,14000,6,105,31
1400,14000,6,106,32
1400,14000,6,105,33
1400,14000,6,106,34
1400,14000,6,106,35
1400,14000,6,104,36
1400,14000,6,105,37
1400,14000,6,106,38
1400,14000,6,106,39
1400,14000,6,106,3
1400,14000,6,106,40
1400,14000,6,105,41
1400,14000,6,105,42
1400,14000,6,106,43
1400,14000,6,105,44
1400,14000,6,106,45
1400,14000,6,106,46
1400,14000,6,106,47
1400,14000,6,105,48
1400,14000,6,106,49
1400,14000,6,105,4
1400,14000,6,106,50
1400,14000,6,106,5
1400,14000,6,107,6
1400,14000,6,105,7
1400,14000,6,105,8
1400,14000,6,105,9
1400,4200,3,160,10
1400,4200,3,162,11
1400,4200,3,160,12
1400,4200,3,158,13
1400,4200,3,158,14
1400,4200,3,157,15
1400,4200,3,158,16
1400,4200,3,160,17
1400,4200,3,156,18
1400,4200,3,158,19
1400,4200,3,158,1
1400,4200,3,159,20
1400,4200,3,160,21
1400,4200,3,159,22
1400,4200,3,157,23
1400,4200,3,161,24
1400,4200,3,158,25
1400,4200,3,160,26
1400,4200,3,157,27
1400,4200,3,160,28
1400,4200,3,159,29
1400,4200,3,158,2
1400,4200,3,160,30
1400,4200,3,160,31
1400,4200,3,158,32
1400,4200,3,158,33
1400,4200,3,157,34
1400,4200,3,159,35
1400,4200,3,156,36
1400,4200,3,159,37
1400,4200,3,158,38
1400,4200,3,159,39
1400,4200,3,156,3
1400,4200,3,158,40
1400,4200,3,158,41
1400,4200,3,160,42
1400,4200,3,158,43
1400,4200,3,158,44
1400,4200,3,157,45
1400,4200,3,160,46
1400,4200,3,159,47
1400,4200,3,157,48
1400,4200,3,159,49
1400,4200,3,160,4
1400,4200,3,157,50
1400,4200,3,158,5
1400,4200,3,159,6
1400,4200,3,158,7
1400,4200,3,159,8
1400,4200,3,157,9
1400,4200,4,167,10
1400,4200,4,168,11
1400,4200,4,169,12
1400,4200,4,168,13
1400,4200,4,170,14
1400,4200,4,168,15
1400,4200,4,169,16
1400,4200,4,168,17
1400,4200,4,167,18
1400,4200,4,170,19
1400,4200,4,168,1
1400,4200,4,169,20
1400,4200,4,169,21
1400,4200,4,168,22
1400,4200,4,168,23
1400,4200,4,169,24
1400,4200,4,170,25
1400,4200,4,169,26
1400,4200,4,171,27
1400,4200,4,168,28
1400,4200,4,168,29
1400,4200,4,169,2
1400,4200,4,168,30
1400,4200,4,168,31
1400,4200,4,168,32
1400,4200,4,169,33
1400,4200,4,169,34
1400,4200,4,168,35
1400,4200,4,167,36
1400,4200,4,168,37
1400,4200,4,168,38
1400,4200,4,168,39
1400,4200,4,168,3
1400,4200,4,169,40
1400,4200,4,168,41
1400,4200,4,168,42
1400,4200,4,170,43
1400,4200,4,168,44
1400,4200,4,169,45
1400,4200,4,170,46
1400,4200,4,169,47
1400,4200,4,169,48
1400,4200,4,168,49
1400,4200,4,169,4
1400,4200,4,168,50
1400,4200,4,170,5
1400,4200,4,167,6
1400,4200,4,170,7
1400,4200,4,168,8
1400,4200,4,167,9
1400,4200,5,159,10
1400,4200,5,160,11
1400,4200,5,160,12
1400,4200,5,159,13
1400,4200,5,158,14
1400,4200,5,161,15
1400,4200,5,161,16
1400,4200,5,159,17
1400,4200,5,159,18
1400,4200,5,160,19
1400,4200,5,160,1
1400,4200,5,160,20
1400,4200,5,160,21
1400,4200,5,161,22
1400,4200,5,161,23
1400,4200,5,160,24
1400,4200,5,159,25
1400,4200,5,160,26
1400,4200,5,160,27
1400,4200,5,159,28
1400,4200,5,161,29
1400,4200,5,162,2
1400,4200,5,159,30
1400,4200,5,160,31
1400,4200,5,160,32
1400,4200,5,160,33
1400,4200,5,161,34
1400,4200,5,159,35
1400,4200,5,160,36
1400,4200,5,160,37
1400,4200,5,160,38
1400,4200,5,159,39
1400,4200,5,159,3
1400,4200,5,160,40
1400,4200,5,160,41
1400,4200,5,160,42
1400,4200,5,161,43
1400,4200,5,159,44
1400,4200,5,159,45
1400,4200,5,160,46
1400,4200,5,161,47
1400,4200,5,158,48
1400,4200,5,159,49
1400,4200,5,160,4
1400,4200,5,159,50
1400,4200,5,159,5
1400,4200,5,160,6
1400,4200,5,160,7
1400,4200,5,161,8
1400,4200,5,159,9
1400,4200,6,147,10
1400,4200,6,146,11
1400,4200,6,149,12
1400,4200,6,148,13
1400,4200,6,147,14
1400,4200,6,149,15
1400,4200,6,147,16
1400,4200,6,147,17
1400,4200,6,148,18
1400,4200,6,149,19
1400,4200,6,149,1
1400,4200,6,150,20
1400,4200,6,146,21
1400,4200,6,148,22
1400,4200,6,148,23
1400,4200,6,147,24
1400,4200,6,149,25
1400,4200,6,146,26
1400,4200,6,147,27
1400,4200,6,149,28
1400,4200,6,149,29
1400,4200,6,148,2
1400,4200,6,148,30
1400,4200,6,148,31
1400,4200,6,146,32
1400,4200,6,149,33
1400,4200,6,148,34
1400,4200,6,149,35
1400,4200,6,147,36
1400,4200,6,146,37
1400,4200,6,149,38
1400,4200,6,148,39
1400,4200,6,149,3
1400,4200,6,148,40
1400,4200,6,147,41
1400,4200,6,147,42
1400,4200,6,148,43
1400,4200,6,149,44
1400,4200,6,147,45
1400,4200,6,149,46
1400,4200,6,147,47
1400,4200,6,147,48
1400,4200,6,148,49
1400,4200,6,149,4
1400,4200,6,148,50
1400,4200,6,148,5
1400,4200,6,148,6
1400,4200,6,148,7
1400,4200,6,148,8
1400,4200,6,149,9
1400,8400,3,112,10
1400,8400,3,112,11
1400,8400,3,112,12
1400,8400,3,112,13
1400,8400,3,115,14
1400,8400,3,114,15
1400,8400,3,112,16
1400,8400,3,112,17
1400,8400,3,112,18
1400,8400,3,111,19
1400,8400,3,114,1
1400,8400,3,113,20
1400,8400,3,113,21
1400,8400,3,113,22
1400,8400,3,112,23
1400,8400,3,113,24
1400,8400,3,112,25
1400,8400,3,113,26
1400,8400,3,113,27
1400,8400,3,113,28
1400,8400,3,113,29
1400,8400,3,113,2
1400,8400,3,113,30
1400,8400,3,112,31
1400,8400,3,112,32
1400,8400,3,112,33
1400,8400,3,112,34
1400,8400,3,113,35
1400,8400,3,112,36
1400,8400,3,112,37
1400,8400,3,113,38
1400,8400,3,113,39
1400,8400,3,111,3
1400,8400,3,114,40
1400,8400,3,113,41
1400,8400,3,111,42
1400,8400,3,112,43
1400,8400,3,112,44
1400,8400,3,114,45
1400,8400,3,111,46
1400,8400,3,111,47
1400,8400,3,113,48
1400,8400,3,112,49
1400,8400,3,113,4
1400,8400,3,113,50
1400,8400,3,114,5
1400,8400,3,111,6
1400,8400,3,114,7
1400,8400,3,110,8
1400,8400,3,114,9
1400,8400,4,129,10
1400,8400,4,130,11
1400,8400,4,129,12
1400,8400,4,128,13
1400,8400,4,129,14
1400,8400,4,129,15
1400,8400,4,130,16
1400,8400,4,130,17
1400,8400,4,129,18
1400,8400,4,128,19
1400,8400,4,130,1
1400,8400,4,129,20
1400,8400,4,128,21
1400,8400,4,129,22
1400,8400,4,128,23
1400,8400,4,129,24
1400,8400,4,129,25
1400,8400,4,128,26
1400,8400,4,128,27
1400,8400,4,129,28
1400,8400,4,129,29
1400,8400,4,129,2
1400,8400,4,129,30
1400,8400,4,129,31
1400,8400,4,129,32
1400,8400,4,129,33
1400,8400,4,130,34
1400,8400,4,131,35
1400,8400,4,129,36
1400,8400,4,129,37
1400,8400,4,129,38
1400,8400,4,129,39
1400,8400,4,129,3
1400,8400,4,130,40
1400,8400,4,130,41
1400,8400,4,128,42
1400,8400,4,132,43
1400,8400,4,128,44
1400,8400,4,129,45
1400,8400,4,129,46
1400,8400,4,128,47
1400,8400,4,129,48
1400,8400,4,129,49
1400,8400,4,129,4
1400,8400,4,129,50
1400,8400,4,129,5
1400,8400,4,129,6
1400,8400,4,128,7
1400,8400,4,128,8
1400,8400,4,130,9
1400,8400,5,128,10
1400,8400,5,128,11
1400,8400,5,128,12
1400,8400,5,128,13
1400,8400,5,128,14
1400,8400,5,127,15
1400,8400,5,126,16
1400,8400,5,129,17
1400,8400,5,126,18
1400,8400,5,128,19
1400,8400,5,127,1
1400,8400,5,128,20
1400,8400,5,128,21
1400,8400,5,126,22
1400,8400,5,127,23
1400,8400,5,128,24
1400,8400,5,127,25
1400,8400,5,128,26
1400,8400,5,129,27
1400,8400,5,129,28
1400,8400,5,129,29
1400,8400,5,127,2
1400,8400,5,127,30
1400,8400,5,128,31
1400,8400,5,127,32
1400,8400,5,127,33
1400,8400,5,127,34
1400,8400,5,126,35
1400,8400,5,128,36
1400,8400,5,127,37
1400,8400,5,127,38
1400,8400,5,126,39
1400,8400,5,126,3
1400,8400,5,126,40
1400,8400,5,128,41
1400,8400,5,127,42
1400,8400,5,127,43
1400,8400,5,127,44
1400,8400,5,128,45
1400,8400,5,128,46
1400,8400,5,128,47
1400,8400,5,127,48
1400,8400,5,128,49
1400,8400,5,126,4
1400,8400,5,127,50
1400,8400,5,127,5
1400,8400,5,128,6
1400,8400,5,128,7
1400,8400,5,127,8
1400,8400,5,129,9
1400,8400,6,120,10
1400,8400,6,120,11
1400,8400,6,119,12
1400,8400,6,121,13
1400,8400,6,120,14
1400,8400,6,121,15
1400,8400,6,119,16
1400,8400,6,122,17
1400,8400,6,120,18
1400,8400,6,122,19
1400,8400,6,122,1
1400,8400,6,120,20
1400,8400,6,121,21
1400,8400,6,122,22
1400,8400,6,122,23
1400,8400,6,121,24
1400,8400,6,122,25
1400,8400,6,121,26
1400,8400,6,122,27
1400,8400,6,121,28
1400,8400,6,121,29
1400,8400,6,120,2
1400,8400,6,121,30
1400,8400,6,121,31
1400,8400,6,120,32
1400,8400,6,122,33
1400,8400,6,120,34
1400,8400,6,120,35
1400,8400,6,120,36
1400,8400,6,120,37
1400,8400,6,120,38
1400,8400,6,121,39
1400,8400,6,121,3
1400,8400,6,122,40
1400,8400,6,120,41
1400,8400,6,121,42
1400,8400,6,121,43
1400,8400,6,121,44
1400,8400,6,120,45
1400,8400,6,120,46
1400,8400,6,122,47
1400,8400,6,122,48
1400,8400,6,122,49
1400,8400,6,122,4
1400,8400,6,121,50
1400,8400,6,120,5
1400,8400,6,120,6
1400,8400,6,121,7
1400,8400,6,121,8
1400,8400,6,121,9
1600,16000,3,103,10
1600,16000,3,101,11
1600,16000,3,102,12
1600,16000,3,101,13
1600,16000,3,104,14
1600,16000,3,102,15
1600,16000,3,103,16
1600,16000,3,103,17
1600,16000,3,102,18
1600,16000,3,101,19
1600,16000,3,102,1
1600,16000,3,102,20
1600,16000,3,102,21
1600,16000,3,102,22
1600,16000,3,103,23
1600,16000,3,102,24
1600,16000,3,102,25
1600,16000,3,102,26
1600,16000,3,102,27
1600,16000,3,103,28
1600,16000,3,102,29
1600,16000,3,103,2
1600,16000,3,101,30
1600,16000,3,102,31
1600,16000,3,102,32
1600,16000,3,101,33
1600,16000,3,102,34
1600,16000,3,102,35
1600,16000,3,102,36
1600,16000,3,101,37
1600,16000,3,104,38
1600,16000,3,103,39
1600,16000,3,102,3
1600,16000,3,105,40
1600,16000,3,104,41
1600,16000,3,100,42
1600,16000,3,105,43
1600,16000,3,102,44
1600,16000,3,102,45
1600,16000,3,101,46
1600,16000,3,102,47
1600,16000,3,104,48
1600,16000,3,102,49
1600,16000,3,102,4
1600,16000,3,103,50
1600,16000,3,102,5
1600,16000,3,102,6
1600,16000,3,104,7
1600,16000,3,103,8
1600,16000,3,104,9
1600,16000,4,125,10
1600,16000,4,124,11
1600,16000,4,126,12
1600,16000,4,123,13
1600,16000,4,124,14
1600,16000,4,125,15
1600,16000,4,125,16
1600,16000,4,124,17
1600,16000,4,124,18
1600,16000,4,126,19
1600,16000,4,124,1
1600,16000,4,126,20
1600,16000,4,125,21
1600,16000,4,125,22
1600,16000,4,125,23
1600,16000,4,124,24
1600,16000,4,124,25
1600,16000,4,124,26
1600,16000,4,124,27
1600,16000,4,124,28
1600,16000,4,124,29
1600,16000,4,125,2
1600,16000,4,125,30
1600,16000,4,125,31
1600,16000,4,125,32
1600,16000,4,125,33
1600,16000,4,125,34
1600,16000,4,125,35
1600,16000,4,125,36
1600,16000,4,125,37
1600,16000,4,124,38
1600,16000,4,126,39
1600,16000,4,125,3
1600,16000,4,125,40
1600,16000,4,124,41
1600,16000,4,125,42
1600,16000,4,125,43
1600,16000,4,126,44
1600,16000,4,125,45
1600,16000,4,125,46
1600,16000,4,123,47
1600,16000,4,126,48
1600,16000,4,126,49
1600,16000,4,124,4
1600,16000,4,125,50
1600,16000,4,124,5
1600,16000,4,124,6
1600,16000,4,125,7
1600,16000,4,123,8
1600,16000,4,125,9
1600,16000,5,127,10
1600,16000,5,127,11
1600,16000,5,127,12
1600,16000,5,126,13
1600,16000,5,125,14
1600,16000,5,126,15
1600,16000,5,126,16
1600,16000,5,126,17
1600,16000,5,126,18
1600,16000,5,126,19
1600,16000,5,127,1
1600,16000,5,127,20
1600,16000,5,127,21
1600,16000,5,128,22
1600,16000,5,128,23
1600,16000,5,126,24
1600,16000,5,124,25
1600,16000,5,126,26
1600,16000,5,126,27
1600,16000,5,127,28
1600,16000,5,126,29
1600,16000,5,126,2
1600,16000,5,125,30
1600,16000,5,127,31
1600,16000,5,125,32
1600,16000,5,127,33
1600,16000,5,125,34
1600,16000,5,126,35
1600,16000,5,127,36
1600,16000,5,126,37
1600,16000,5,127,38
1600,16000,5,126,39
1600,16000,5,126,3
1600,16000,5,127,40
1600,16000,5,127,41
1600,16000,5,127,42
1600,16000,5,125,43
1600,16000,5,126,44
1600,16000,5,125,45
1600,16000,5,126,46
1600,16000,5,126,47
1600,16000,5,126,48
1600,16000,5,127,49
1600,16000,5,127,4
1600,16000,5,126,50
1600,16000,5,127,5
1600,16000,5,126,6
1600,16000,5,128,7
1600,16000,5,126,8
1600,16000,5,127,9
1600,16000,6,121,10
1600,16000,6,121,11
1600,16000,6,121,12
1600,16000,6,121,13
1600,16000,6,121,14
1600,16000,6,122,15
1600,16000,6,121,16
1600,16000,6,121,17
1600,16000,6,121,18
1600,16000,6,122,19
1600,16000,6,123,1
1600,16000,6,121,20
1600,16000,6,121,21
1600,16000,6,122,22
1600,16000,6,120,23
1600,16000,6,121,24
1600,16000,6,123,25
1600,16000,6,122,26
1600,16000,6,121,27
1600,16000,6,121,28
1600,16000,6,122,29
1600,16000,6,122,2
1600,16000,6,121,30
1600,16000,6,122,31
1600,16000,6,121,32
1600,16000,6,123,33
1600,16000,6,121,34
1600,16000,6,121,35
1600,16000,6,122,36
1600,16000,6,123,37
1600,16000,6,120,38
1600,16000,6,122,39
1600,16000,6,120,3
1600,16000,6,122,40
1600,16000,6,121,41
1600,16000,6,122,42
1600,16000,6,122,43
1600,16000,6,120,44
1600,16000,6,122,45
1600,16000,6,122,46
1600,16000,6,121,47
1600,16000,6,123,48
1600,16000,6,122,49
1600,16000,6,121,4
1600,16000,6,121,50
1600,16000,6,121,5
1600,16000,6,122,6
1600,16000,6,123,7
1600,16000,6,122,8
1600,16000,6,121,9
1600,4800,3,182,10
1600,4800,3,184,11
1600,4800,3,181,12
1600,4800,3,179,13
1600,4800,3,181,14
1600,4800,3,183,15
1600,4800,3,184,16
1600,4800,3,184,17
1600,4800,3,182,18
1600,4800,3,183,19
1600,4800,3,182,1
1600,4800,3,182,20
1600,4800,3,183,21
1600,4800,3,181,22
1600,4800,3,182,23
1600,4800,3,182,24
1600,4800,3,183,25
1600,4800,3,182,26
1600,4800,3,184,27
1600,4800,3,181,28
1600,4800,3,182,29
1600,4800,3,180,2
1600,4800,3,181,30
1600,4800,3,181,31
1600,4800,3,181,32
1600,4800,3,181,33
1600,4800,3,180,34
1600,4800,3,182,35
1600,4800,3,182,36
1600,4800,3,183,37
1600,4800,3,180,38
1600,4800,3,184,39
1600,4800,3,183,3
1600,4800,3,180,40
1600,4800,3,181,41
1600,4800,3,183,42
1600,4800,3,182,43
1600,4800,3,182,44
1600,4800,3,183,45
1600,4800,3,181,46
1600,4800,3,182,47
1600,4800,3,181,48
1600,4800,3,182,49
1600,4800,3,180,4
1600,4800,3,180,50
1600,4800,3,182,5
1600,4800,3,184,6
1600,4800,3,179,7
1600,4800,3,181,8
1600,4800,3,179,9
1600,4800,4,195,10
1600,4800,4,194,11
1600,4800,4,195,12
1600,4800,4,192,13
1600,4800,4,193,14
1600,4800,4,192,15
1600,4800,4,191,16
1600,4800,4,192,17
1600,4800,4,196,18
1600,4800,4,192,19
1600,4800,4,192,1
1600,4800,4,192,20
1600,4800,4,193,21
1600,4800,4,194,22
1600,4800,4,193,23
1600,4800,4,193,24
1600,4800,4,193,25
1600,4800,4,192,26
1600,4800,4,194,27
1600,4800,4,192,28
1600,4800,4,193,29
1600,4800,4,194,2
1600,4800,4,195,30
1600,4800,4,193,31
1600,4800,4,195,32
1600,4800,4,192,33
1600,4800,4,191,34
1600,4800,4,192,35
1600,4800,4,193,36
1600,4800,4,194,37
1600,4800,4,195,38
1600,4800,4,194,39
1600,4800,4,193,3
1600,4800,4,195,40
1600,4800,4,191,41
1600,4800,4,194,42
1600,4800,4,193,43
1600,4800,4,194,44
1600,4800,4,193,45
1600,4800,4,192,46
1600,4800,4,194,47
1600,4800,4,194,48
1600,4800,4,195,49
1600,4800,4,191,4
1600,4800,4,194,50
1600,4800,4,192,5
1600,4800,4,192,6
1600,4800,4,191,7
1600,4800,4,194,8
1600,4800,4,192,9
1600,4800,5,183,10
1600,4800,5,184,11
1600,4800,5,184,12
1600,4800,5,182,13
1600,4800,5,183,14
1600,4800,5,182,15
1600,4800,5,182,16
1600,4800,5,183,17
1600,4800,5,184,18
1600,4800,5,184,19
1600,4800,5,183,1
1600,4800,5,184,20
1600,4800,5,183,21
1600,4800,5,182,22
1600,4800,5,184,23
1600,4800,5,184,24
1600,4800,5,184,25
1600,4800,5,183,26
1600,4800,5,183,27
1600,4800,5,183,28
1600,4800,5,183,29
1600,4800,5,184,2
1600,4800,5,183,30
1600,4800,5,183,31
1600,4800,5,183,32
1600,4800,5,182,33
1600,4800,5,183,34
1600,4800,5,184,35
1600,4800,5,183,36
1600,4800,5,182,37
1600,4800,5,185,38
1600,4800,5,182,39
1600,4800,5,183,3
1600,4800,5,182,40
1600,4800,5,184,41
1600,4800,5,183,42
1600,4800,5,184,43
1600,4800,5,183,44
1600,4800,5,183,45
1600,4800,5,184,46
1600,4800,5,183,47
1600,4800,5,185,48
1600,4800,5,184,49
1600,4800,5,184,4
1600,4800,5,183,50
1600,4800,5,183,5
1600,4800,5,184,6
1600,4800,5,183,7
1600,4800,5,183,8
1600,4800,5,184,9
1600,4800,6,169,10
1600,4800,6,170,11
1600,4800,6,168,12
1600,4800,6,170,13
1600,4800,6,169,14
1600,4800,6,170,15
1600,4800,6,172,16
1600,4800,6,171,17
1600,4800,6,170,18
1600,4800,6,169,19
1600,4800,6,169,1
1600,4800,6,169,20
1600,4800,6,169,21
1600,4800,6,171,22
1600,4800,6,170,23
1600,4800,6,170,24
1600,4800,6,170,25
1600,4800,6,170,26
1600,4800,6,168,27
1600,4800,6,170,28
1600,4800,6,171,29
1600,4800,6,170,2
1600,4800,6,168,30
1600,4800,6,168,31
1600,4800,6,168,32
1600,4800,6,171,33
1600,4800,6,170,34
1600,4800,6,171,35
1600,4800,6,171,36
1600,4800,6,168,37
1600,4800,6,170,38
1600,4800,6,171,39
1600,4800,6,170,3
1600,4800,6,171,40
1600,4800,6,170,41
1600,4800,6,169,42
1600,4800,6,168,43
1600,4800,6,170,44
1600,4800,6,169,45
1600,4800,6,170,46
1600,4800,6,169,47
1600,4800,6,170,48
1600,4800,6,171,49
1600,4800,6,169,4
1600,4800,6,170,50
1600,4800,6,171,5
1600,4800,6,170,6
1600,4800,6,169,7
1600,4800,6,170,8
1600,4800,6,171,9
1600,9600,3,130,10
1600,9600,3,127,11
1600,9600,3,128,12
1600,9600,3,129,13
1600,9600,3,131,14
1600,9600,3,128,15
1600,9600,3,130,16
1600,9600,3,129,17
1600,9600,3,129,18
1600,9600,3,130,19
1600,9600,3,128,1
1600,9600,3,128,20
1600,9600,3,129,21
1600,9600,3,130,22
1600,9600,3,128,23
1600,9600,3,129,24
1600,9600,3,129,25
1600,9600,3,129,26
1600,9600,3,129,27
1600,9600,3,127,28
1600,9600,3,129,29
1600,9600,3,128,2
1600,9600,3,129,30
1600,9600,3,131,31
1600,9600,3,130,32
1600,9600,3,129,33
1600,9600,3,129,34
1600,9600,3,127,35
1600,9600,3,128,36
1600,9600,3,129,37
1600,9600,3,129,38
1600,9600,3,129,39
1600,9600,3,128,3
1600,9600,3,127,40
1600,9600,3,131,41
1600,9600,3,128,42
1600,9600,3,129,43
1600,9600,3,129,44
1600,9600,3,130,45
1600,9600,3,129,46
1600,9600,3,128,47
1600,9600,3,130,48
1600,9600,3,130,49
1600,9600,3,128,4
1600,9600,3,129,50
1600,9600,3,129,5
1600,9600,3,128,6
1600,9600,3,129,7
1600,9600,3,127,8
1600,9600,3,130,9
1600,9600,4,148,10
1600,9600,4,148,11
1600,9600,4,147,12
1600,9600,4,150,13
1600,9600,4,148,14
1600,9600,4,147,15
1600,9600,4,149,16
1600,9600,4,149,17
1600,9600,4,148,18
1600,9600,4,148,19
1600,9600,4,148,1
1600,9600,4,150,20
1600,9600,4,148,21
1600,9600,4,148,22
1600,9600,4,148,23
1600,9600,4,148,24
1600,9600,4,147,25
1600,9600,4,148,26
1600,9600,4,148,27
1600,9600,4,149,28
1600,9600,4,148,29
1600,9600,4,148,2
1600,9600,4,148,30
1600,9600,4,148,31
1600,9600,4,148,32
1600,9600,4,148,33
1600,9600,4,148,34
1600,9600,4,149,35
1600,9600,4,149,36
1600,9600,4,148,37
1600,9600,4,148,38
1600,9600,4,148,39
1600,9600,4,148,3
1600,9600,4,148,40
1600,9600,4,147,41
1600,9600,4,151,42
1600,9600,4,148,43
1600,9600,4,147,44
1600,9600,4,148,45
1600,9600,4,147,46
1600,9600,4,148,47
1600,9600,4,149,48
1600,9600,4,149,49
1600,9600,4,149,4
1600,9600,4,147,50
1600,9600,4,148,5
1600,9600,4,147,6
1600,9600,4,149,7
1600,9600,4,149,8
1600,9600,4,148,9
1600,9600,5,146,10
1600,9600,5,146,11
1600,9600,5,147,12
1600,9600,5,145,13
1600,9600,5,146,14
1600,9600,5,146,15
1600,9600,5,147,16
1600,9600,5,146,17
1600,9600,5,146,18
1600,9600,5,147,19
1600,9600,5,146,1
1600,9600,5,146,20
1600,9600,5,146,21
1600,9600,5,146,22
1600,9600,5,147,23
1600,9600,5,147,24
1600,9600,5,147,25
1600,9600,5,145,26
1600,9600,5,145,27
1600,9600,5,145,28
1600,9600,5,145,29
1600,9600,5,146,2
1600,9600,5,146,30
1600,9600,5,146,31
1600,9600,5,145,32
1600,9600,5,146,33
1600,9600,5,146,34
1600,9600,5,146,35
